CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
01431;Vaux-en-Bugey;341;39;19;80;27;62;31;41;201;20;52
01432;Verjon;85;9;2;19;11;26;13;7;56;4;14
01433;Vernoux;92;2;3;12;2;6;7;6;55;2;14
01434;Versailleux;135;4;2;18;9;22;20;5;85;2;18
01435;Versonnex;734;41;5;101;57;104;28;41;134;13;53
01436;Vesancy;135;7;2;24;22;70;25;12;33;7;20
01437;Vescours;61;6;2;5;1;10;7;3;39;0;4
01439;Vésines;23;2;0;5;2;6;5;3;12;2;5
01441;Vieu-d'Izenave;225;11;1;18;11;25;21;26;117;5;30
01443;Villars-les-Dombes;1669;97;35;232;90;268;122;96;703;34;156
01444;Villebois;419;39;11;52;25;47;32;32;238;14;48
01445;Villemotier;166;7;5;27;3;47;30;16;107;5;23
01446;Villeneuve;525;20;10;39;22;65;55;48;341;6;57
01447;Villereversure;441;31;8;61;15;59;39;32;197;13;46
01448;Villes;124;4;2;17;7;19;18;4;74;4;19
01449;Villette-sur-Ain;240;8;7;19;25;59;29;28;147;6;18
01450;Villieu-Loyes-Mollon;1234;102;38;149;79;243;125;128;709;28;122
01451;Viriat;2201;133;35;254;88;469;265;138;1042;48;214
01452;Virieu-le-Grand;359;39;5;32;24;41;19;26;170;11;43
01453;Arvière-en-Valromey;233;26;4;35;22;47;30;15;113;8;38
01454;Virignin;359;27;13;32;19;48;19;23;179;9;27
01456;Vongnes;22;1;0;10;0;12;4;0;11;1;4
01457;Vonnas;1162;48;17;98;51;180;86;67;431;14;90
02001;Abbécourt;195;5;1;7;5;19;8;16;112;2;10
02002;Achery;203;15;5;11;5;18;9;17;146;8;19
02003;Acy;381;24;6;35;21;33;22;17;184;14;41
02004;Agnicourt-et-Séchelles;56;1;2;2;1;11;8;1;45;2;6
02005;Aguilcourt;119;9;0;11;6;26;7;15;112;3;7
02006;Aisonville-et-Bernoville;87;1;0;11;1;12;9;12;68;1;13
02007;Aizelles;49;2;0;2;0;11;3;4;23;2;4
